iter,loss,xT,omega,mean_alpha,alpha_std,mean_trade_rate,mean_score,outside_rate,mean_turn_ratio
1,10.557519598574379,1.1816204102336179,-2.169096346578794,0.5291137053098444,0.021006438236035613,1.0,3.8070724482430487,1.0,0.008323868430687772
50,10.559123760710975,1.1806271789595741,-2.169096346578794,0.28764513716378926,0.031876620161265426,0.001984126984126984,3.852230201138366,1.0,0.010557504009544793
100,10.323971855681824,1.2153591534787682,-2.169096346578794,0.14130627289378073,0.03836205374732799,0.001984126984126984,3.792282190888469,1.0,0.012416195110868531
150,10.194210594017335,1.2355188663902026,-2.169096346578794,0.0931348654047149,0.040460323475904794,0.001984126984126984,3.749561756146564,1.0,0.014909254248299015
200,10.761713921760286,1.1514806225899483,-2.169096346578794,0.07526377203976978,0.04123657596753316,0.001984126984126984,3.8203469304381055,1.0,0.016538594039997783
250,10.538743928495721,1.1849687885550062,-2.169096346578794,0.06761995640217595,0.04157556481771303,0.001984126984126984,3.753272787705124,1.0,0.016956298912466798
300,10.895685031073494,1.1308713732237443,-2.169096346578794,0.06346890137307495,0.04175881511986919,0.001984126984126984,3.8184787137858205,1.0,0.017673920908359203
350,10.434573421195063,1.2009897033826058,-2.169096346578794,0.061127095318177255,0.041863211994747906,0.001984126984126984,3.735757231740938,1.0,0.0168909222746527
400,10.599578946855543,1.1762189956270948,-2.169096346578794,0.05939830163171285,0.04193977805441802,0.001984126984126984,3.792776593270525,1.0,0.017261025425559247
450,10.241321918696613,1.2275046544351769,-2.169096346578794,0.058105862210354714,0.041997105269505355,0.001984126984126984,3.880889001335787,1.0,0.02113175836334054
500,10.731961820129083,1.1550933149351397,-2.169096346578794,0.057322570291634053,0.04203201885706051,0.001984126984126984,3.831323745656836,1.0,0.01816768973113939
550,10.14364806818946,1.242945219499342,-2.169096346578794,0.05664762045484864,0.04206218773507469,0.001984126984126984,3.738334663541532,1.0,0.019012364271568192
600,10.38311035444227,1.2069061295528916,-2.169096346578794,0.05605154151533538,0.042088672038084474,0.001984126984126984,3.8025442151940543,1.0,0.019334125588188766
650,10.50088839816626,1.1905458920467107,-2.169096346578794,0.05562746942977178,0.04210762018490288,0.001984126984126984,3.6657496680571118,1.0,0.017067519009091175
700,10.53957191386006,1.1843861615849434,-2.169096346578794,0.05522955849665689,0.04212531327882281,0.001984126984126984,3.730729832226765,1.0,0.017396371261498775
750,9.999922313558946,1.2623069239222682,-2.169096346578794,0.054884131014480024,0.04214067370636315,0.001984126984126984,3.8057615273956857,1.0,0.02021117332320249
