iter,loss,xT,omega,delta_mean,delta
1,2.187965005432993,2.0154490801225933,-0.004845509198774067,0.7184596480132863,"[0.7184596480132863, 0.7184596480132863]"
50,5.843579522615071,1.2792938590328364,-0.5160843907231519,0.7250094100221891,"[0.721996027610499, 0.7280227924338791]"
100,1.5812222333703776,2.266372811683661,-1.0032213963406038,0.732502349661266,"[0.7257411285752776, 0.7392635707472545]"
150,8.640566387523041,1.1992530562663508,-1.4847673297746427,0.7382745425538275,"[0.699745562511132, 0.776803522596523]"
200,1.3934844451903956,2.3398867742532934,-1.9332172077914416,0.744645619338467,"[0.71882520616891, 0.7704660325080239]"
250,8.657700663936016,1.5201562060625697,-2.4176187374410465,0.7526941360597483,"[0.700903934598078, 0.8044843375214186]"
300,2.577349836961975,2.2540320848928497,-2.8646428953543186,0.7691059593174425,"[0.6612364881293126, 0.8769754305055725]"
350,11.86275004188122,1.376695567217054,-3.353176914377115,0.7859922183192039,"[0.6117785671246242, 0.9602058695137836]"
400,14.449252784323185,1.229123115044606,-3.8329043091126667,0.7757095368168816,"[0.5940683823666928, 0.9573506912670703]"
450,14.853358816698716,1.2989179050571036,-4.29587558927149,0.7770717657356505,"[0.5689853894566942, 0.9851581420146069]"
500,7.165198873346576,1.9884743752599439,-4.7646316703922595,0.7864063647541617,"[0.5250590819182096, 1.047753647590114]"
550,6.53416660982829,2.062564711206795,-5.191815688798684,0.7988474272789331,"[0.48836605085909673, 1.1093288036987694]"
600,8.3935339029982,1.9666190576922866,-5.640259942206439,0.8330328475423392,"[0.4338081745036135, 1.2322575205810649]"
650,20.534436885738373,1.2006626190058878,-6.064550052024102,0.8591030722230515,"[0.36978018670969387, 1.348425957736409]"
700,21.81525378784577,1.1863638460434447,-6.473339558568082,0.9134649242097972,"[0.3084103048940886, 1.5185195435255057]"
750,27.863453917664486,0.8583463176773685,-6.8236416414242935,0.8910344911255927,"[0.2586774525825704, 1.5233915296686151]"
800,7.485421611592756,2.1062089011641025,-7.205138704634431,0.881525956666485,"[0.23963401899412004, 1.52341789433885]"
850,29.048444086568225,0.9338968164534808,-7.572828273123779,0.8752164731669508,"[0.22701490971567415, 1.5234180366182275]"
900,-0.6018399235629204,2.5287935162585162,-7.936277915085222,0.8679384677168291,"[0.2124588980490017, 1.5234180373846566]"
950,8.51243164007741,2.098803326002148,-8.313411662001144,0.8619939070881908,"[0.2005697767876024, 1.5234180373887791]"
1000,22.52095682372554,1.4450763350391518,-8.712222659862231,0.8569953493924684,"[0.1905726613961361, 1.5234180373888007]"
1050,18.328743560543302,1.6846543460732413,-9.155687238344843,0.8545902908986175,"[0.18576254440843423, 1.5234180373888007]"
1100,34.06459156726261,0.9796336051393797,-9.478144197509554,0.852578389874419,"[0.18173874236003737, 1.5234180373888007]"
1150,-11.455036620800513,2.956597562137498,-9.811044333817662,0.8512344962690018,"[0.1790509551492029, 1.5234180373888007]"
1200,-15.847891003784042,3.1093958414296523,-10.192161149402072,0.8484862870649923,"[0.17355453674118398, 1.5234180373888007]"
1250,28.47868758909101,1.3667148905811166,-10.642636916133572,0.8450729723341294,"[0.1667279072794581, 1.5234180373888007]"
1300,3.2762889571880294,2.3777048689137232,-10.957380310320998,0.8395905072774229,"[0.15576297716604515, 1.5234180373888007]"
1350,11.371343961842769,2.0826526875429017,-11.336205447985757,0.8371076231513226,"[0.15079720891384454, 1.5234180373888007]"
1400,21.28137788019643,1.7273315277484758,-11.665412182394759,0.8356050137673027,"[0.14779199014580469, 1.5234180373888007]"
1450,-5.113289983234324,2.6741833513122764,-12.089061779649708,0.8351817642906542,"[0.14694549119250772, 1.5234180373888007]"
1500,-14.387966332238022,2.9709861756968357,-12.534094975329076,0.8345955640248655,"[0.14577309066093017, 1.5234180373888007]"
1550,45.00592868347883,0.9564812064206846,-12.866197079121113,0.8331647576504422,"[0.14291147791208367, 1.5234180373888007]"
1600,39.81212973129834,1.1754719314336801,-13.204307373733748,0.8306129066424229,"[0.13780777589604526, 1.5234180373888007]"
1650,49.693062051640226,0.8666429964649331,-13.544953473495736,0.82919643201875,"[0.13497482664869936, 1.5234180373888007]"
1700,33.361359818157894,1.448604654429758,-13.901490067274732,0.8275256088020871,"[0.13163318021537354, 1.5234180373888007]"
1750,49.799297081182516,0.9439651861479813,-14.295564547989379,0.8262198293864924,"[0.12902162138418427, 1.5234180373888007]"
1800,33.132177637686766,1.5158753153104103,-14.835226720466066,0.825244196185266,"[0.12707035498173141, 1.5234180373888007]"
1850,16.110097116602503,2.0402166538982245,-15.253715956524026,0.823632640924389,"[0.12384724445997747, 1.5234180373888007]"
1900,17.91797902194429,1.9996248793993505,-15.659737605130516,0.8216367697001672,"[0.1198555020115337, 1.5234180373888007]"
1950,49.11734404094665,1.1265543860240488,-16.081523517640022,0.8203561952704284,"[0.11729435315205612, 1.5234180373888007]"
2000,2.3138046773204906,2.438695744973872,-16.402750325004035,0.8191021787882233,"[0.11478632018764595, 1.5234180373888007]"
